認証番号,店名,住所,更新日,townid,geo3x3
0001,レストラン リーフテラス,福井県福井市高木中央3-701,2021-08-11,E9138736799,E9138736799826
0002,焼き鳥居酒屋 火の鳥,福井県大野市中保22-1-1,2021-08-11,E9138813838,E9138813838477
0003,Brown Rice Bar,福井県福井市花月2-13-17,2021-08-11,E9138735938,E9138735938542
0004,COZY COFFEE,福井県吉田郡永平寺町吉波22-104,2021-08-11,E913881732,E9138817316283
0006,喫茶 アイビー,福井県坂井市丸岡町石城戸町1-11,2021-08-11,E91387399146,E9138739914673
0007,カフェテラス MAKI,福井県福井市高木中央2-4109,2021-08-11,E9138739132,E9138736798518
0008,カラオケ喫茶 宝,福井県敦賀市若葉町2-407 Fビル2F,2021-08-11,E9138467417,E9138467418542
0009,カラオケ喫茶 らんでぶー,福井県敦賀市金山89-3-6 三谷ビル101,2021-08-11,E913845961,E913845961
0010,グラン・シェフ クーゼー,福井県福井市今市町40-1-1 ハーモニーホール敷地内,2021-08-11,E9138735329,E9138735337354
0011,ごはんや 蓮 REN,福井県南条郡南越前町牧谷29-8,2021-08-11,E913849678,E9138495958299
0014,スナック 麻里,福井県勝山市滝波町4-1102,2021-08-11,E9138816763,E9138816739591
0015,セピア,福井県大野市中狭3-1102,2021-08-11,E91388138298,E9138813852759
0016,カフェ＆パブ ダイハード,福井県敦賀市元町18-32,2021-08-11,E9138467735,E9138467735431
0017,ぬの家,福井県鯖江市水落町3-2-17,2021-08-11,E913873261,E9138732565963
0018,びすとろ も・談屋,福井県鯖江市糺町25-12-2,2021-08-11,E913873258,E9138732582646
0019,よ志元 本店,福井県越前市元町6-12,2021-08-11,E91384988129,E9138498813485
0021,居酒屋 岩倉,福井県越前市桂町5-11,2021-08-11,E91384988186,E9138498818396
0022,永平寺 九頭竜らー麺 庫裡庵,福井県吉田郡永平寺町松岡兼定島11-50-2,2021-08-11,E91387393821,E9138739357853
0023,鉄板焼きと居酒屋のお店 七転び八起き,福井県福井市明里町11-10,2021-08-11,E9138735688,E9138735688458
0024,茶房すなっく 古都,福井県福井市四ツ井2-3-6,2021-08-11,E9138736735,E9138736735481
0025,鉄板焼きダイニング Voyage,福井県鯖江市丸山町1-2-4,2021-08-11,E9138732598,E9138732597615
0028,若狭マリンプラザ,福井県小浜市岡津44,2021-08-11,E91384427,E9138442486369
0029,鉄板創作串 JIN,福井県小浜市大手町5-20 七福タウン,2021-08-11,E9138443739,E9138443739787
0031,ホテル 流星館,福井県大飯郡おおい町名田庄納田終109-6-1,2021-08-11,E91384174,E9138417547864
0032,秋吉 武生店,福井県越前市府中1-12-26,2021-08-11,E9138498824,E9138498824286
0033,味処 けやき,福井県坂井市坂井町蔵垣内34-14-1,2021-08-11,E913876311,E9138739779534
0034,とんかつ カルマ 本店,福井県福井市二の宮3-1-11,2021-08-11,E9138736775,E9138736773715
0036,小牧かまぼこ,福井県敦賀市余座13-1-1,2021-08-11,E9138467821,E9138467579685
0037,花月楼,福井県勝山市本町2-6-21,2021-08-11,E91388165847,E9138816584734
0038,焼肉 万賛館,福井県勝山市沢町2-7-27,2021-08-11,E91388168225,E9138816822521
0039,やっこ,福井県福井市足羽1-14-21,2021-08-11,E9138735695,E9138735697663
0040,九龍飯店,福井県鯖江市有定町2-4-28-2,2021-08-11,E9138732283,E9138732283262
0042,スナック 庄兵衛,福井県勝山市滝波町3-206,2021-08-11,E913881673,E9138816841637
0043,スナック 春花,福井県越前市北府2-15-13 石田ビル1Ｆ,2021-08-11,E9138498857,E9138498857
0044,ラウンジ LuPi,福井県敦賀市本町1-14-27 アスナビル1F 1号,2021-08-11,E91384677323,E91384677323
0045,歌謡酒場 七色,福井県敦賀市本町1-2-12 越路ビル1F,2021-08-11,E91384677323,E9138467498995
0047,居食屋 りゅう,福井県吉田郡永平寺松岡上合月2-66-1,2021-08-11,E9138817142,E9138817144185
0048,レストラン 金龍,福井県吉田郡永平寺町東古市16-42-1,2021-08-11,E9138817218,E9138817217715
0049,(有) 魚治,福井県勝山市沢町1-4-21,2021-08-11,E91388168213,E9138816822521
0051,NALU,福井県勝山市本町2-2-27,2021-08-11,E91388165847,E9138816584734
0052,イタリア料理 Peperino,福井県敦賀市御名53-108-1,2021-08-11,E913845936,E9138459396998
0053,Studio 詩音,福井県小浜市生守6-33-1 松山ビル2F,2021-08-11,E913844357,E9138443576751
0054,レ・ボン・セパージュ,福井県福井市船橋黒竜1-206,2021-08-11,,
0057,BEAUTY&CAFE JURAKU,福井県鯖江市下河端町4-6-1,2021-08-11,E9138732654,E9138732644286
0058,まンまや おちょkitchen,福井県福井市日之出2-7-16,2021-08-11,E9138736488,E9138736488494
0060,DogSaion＆Café chienka,福井県坂井市丸岡町新九頭竜1-242,2021-08-11,E9138739297,E9138739298766
